"","province","region","year","month","monthyear","time_cont","month_number","post","buss","non_sas","vax_leastone","vax_complete","deaths","excessd","excessd_rate","antivax","antivax_dic","treat","treat1","treat2","treat3","robbery","v_deaths","transit_acc","total_cases","new_cases","case_rate","new_case_rate","job_change","taxes","taxpayers","txp_change","tax_pc","sales","sales_pc_k","sales_change","sales_change_pc_k","m_retail","m_grocery","m_parks","m_transit","m_workplace","m_residential","rating","lbuss","lnsas","lsales","ltxp","lsalesc","treat_dic","post_dic","did"
"1","AZUAY","SIERRA",2020,"January","1",1,1,"pre",54,54,0,0,364,27.06591132,0.080329988,"provax",0,"provax",0,0,0,277,1,90,NA,NA,NA,NA,-401,64.61749788,99423,1440,649.9250463,30563.01545,307.4038749,-22511958608,-226.43,NA,NA,NA,NA,NA,NA,0,4.00733318523247,4.00733318523247,5.72816243642518,7.27239839257005,NA,0,0,0
"2","AZUAY","SIERRA",2020,"February","2",2,2,"pre",43,43,0,0,328,9.980734557,0.031384056,"provax",0,"provax",0,0,0,228,7,100,NA,NA,NA,NA,-193,47.88608714,100863,219,474.763661,25127.02363,249.1203279,-5435991824,-53.89,NA,NA,NA,NA,NA,NA,0,3.78418963391826,3.78418963391826,5.51793602431796,5.3890717298165,NA,0,0,0
"3","AZUAY","SIERRA",2020,"March","3",3,3,"pre",19,19,0,0,360,46.76463927,0.14929553,"provax",0,"provax",0,0,0,94,2,69,78,78,0.008849618,0.008849618,-346,52.40245245,101082,253,518.4152713,26668.95097,263.834817,1541927338,15.25,-40.25806452,-33.19354839,-42.29032258,-37.29032258,-41.64516129,20.09677419,0,2.99573227355399,2.99573227355399,5.57532321413683,5.53338948872752,2.72457950305342,0,0,0
"4","AZUAY","SIERRA",2020,"April","4",4,4,"pre",0,0,0,0,366,41.43046503,0.127647424,"provax",0,"provax",0,0,0,17,2,22,460,382,0.052190053,0.043340436,292,46.07981956,101335,-206,454.7275824,32360.94187,319.3461476,5691990900,56.17,-78.8,-70.56666667,-78.66666667,-84.36666667,-75.43333333,37.43333333,0,0,0,5.76627561668135,NA,4.02838280654434,0,0,0
"5","AZUAY","SIERRA",2020,"May","5",5,5,"pre",10,8,0,0,379,40.47594404,0.119565931,"provax",0,"provax",0,0,0,88,4,46,869,409,0.098593818,0.046403765,466,32.14321891,101129,347,317.8437334,25031.95661,247.5250088,-7328985253,-72.47,-62.25806452,-55.06451613,-64.12903226,-72.19354839,-54.90322581,30.19354839,0,2.39789527279837,2.19722457733622,5.51151162256054,5.84932477994686,NA,0,0,0
"6","AZUAY","SIERRA",2020,"June","6",6,6,"pre",58,33,0,0,384,71.82811606,0.230091561,"provax",0,"provax",0,0,0,144,1,49,1762,893,0.199910596,0.101316778,224,38.10864198,101476,794,375.5433992,29295.76942,288.6965334,4263812807,42.02,-39.1,-31.63333333,-43.76666667,-55.03333333,-35.23333333,21.7,0,4.07753744390572,3.52636052461616,5.66537607897643,6.67708346124714,3.73814569541685,0,0,0
"7","AZUAY","SIERRA",2020,"July","7",7,7,"pre",90,29,0,0,488,142.2144502,0.411279333,"provax",0,"provax",0,0,0,145,1,59,3326,1564,0.377356778,0.177446182,-35,38.57373692,102270,819,377.1754857,25882.93991,253.0843836,-3412829512,-33.37,-32.87096774,-19.93548387,-38.5483871,-49.03225806,-32,19.48387097,0,4.51085950651685,3.40119738166216,5.53372296513389,6.70808408385307,NA,0,0,0
"8","AZUAY","SIERRA",2020,"August","8",8,8,"pre",71,35,0,0,644,303.9747729,0.893977119,"provax",0,"provax",0,0,0,133,4,59,5454,2128,0.618792504,0.241435726,383,44.48268008,103089,318,431.4978327,25324.25334,245.6542729,-558686567,-5.42,-30.67741935,-18.03225806,-33.96774194,-43.5,-30.35483871,17.16129032,0,4.27666611901606,3.58351893845611,5.5039251527235,5.76205138278018,NA,0,0,0
"9","AZUAY","SIERRA",2020,"September","9",9,9,"pre",84,26,0,0,542,207.1266703,0.618522444,"provax",0,"provax",0,0,0,154,1,56,8981,3527,1.018954066,0.400161562,71,53.75256457,103407,1062,519.8155306,27854.24295,269.3651585,2529989603,24.47,-27.53333333,-11.23333333,-29.73333333,-38.45454545,-27.86666667,15.16666667,0,4.44265125649032,3.29583686600433,5.59606792561984,6.96790920180188,3.19744787745458,0,0,0
"10","AZUAY","SIERRA",2020,"October","10",10,10,"pre",85,34,0,0,486,182.1278502,0.599356836,"provax",0,"provax",0,0,0,192,3,71,10604,1623,1.203094189,0.184140123,-172,48.64301093,104469,723,465.6214851,25641.2028,245.4431727,-2213040141,-21.18,-24.35483871,-5.419354839,-28,-30.70967742,-25.03225806,13.35483871,0,4.45434729625351,3.55534806148941,5.50306544467618,6.58340922215876,NA,0,0,0
"11","AZUAY","SIERRA",2020,"November","11",11,11,"pre",77,41,0,0,430,121.9365102,0.395816169,"provax",0,"provax",0,0,0,174,4,82,11889,1285,1.348885969,0.14579178,-353,51.90960508,105192,717,493.4748372,28742.4544,273.2380257,3101251595,29.48,-21,-2.666666667,-29.63333333,-35.66666667,-22.73333333,12.63333333,0,4.35670882668959,3.73766961828337,5.61034330432151,6.57507584059962,3.38371206732114,0,0,0
"12","AZUAY","SIERRA",2020,"December","12",12,12,"pre",73,27,0,0,422,100.3146552,0.311840924,"provax",0,"provax",0,0,0,186,3,85,13557,1668,1.538131641,0.189245672,689,51.43269146,105909,558,485.63098,47809.93159,451.4246342,19067477189,180.04,-16.93548387,10.90322581,-23.74193548,-34.32258065,-21.41935484,19.03738318,0,4.30406509320417,3.3322045101752,6.11240843577875,6.32435896238131,5.19317904842473,0,0,0
"13","AZUAY","SIERRA",2021,"January","13",13,1,"pre",61,16,0.08,19.53,509,172.0659113,0.51068122,"provax",0,"provax",0,0,0,277,1,90,15998,2441,1.815079295,0.276947653,-401,64.61749788,99423,1061,649.9250463,30563.01545,307.4038749,-21606746713,-217.32,-23.70967742,-5.903225806,-31.35483871,-31.93548387,-24.19354839,11.77419355,0,4.12713438504509,2.83321334405622,5.72816243642518,6.96696713861398,NA,0,0,0
"14","AZUAY","SIERRA",2021,"February","14",14,2,"pre",68,19,0.75,6.82,479,171.9469161,0.559990846,"provax",0,"provax",0,0,0,228,7,100,17367,1369,1.970401432,0.155322137,-193,47.88608714,100863,575,474.763661,25127.02363,249.1203279,-852919888,-8.46,-18.60714286,0.928571429,-25.60714286,-22.57142857,-25.67857143,8.107142857,0,4.23410650459726,2.99573227355399,5.51793602431796,6.35437004079735,NA,0,0,0
"15","AZUAY","SIERRA",2021,"March","15",15,3,"pre",85,22,3.51,0.63,527,213.7646393,0.682440957,"provax",0,"provax",0,0,0,94,2,69,18879,1512,2.141947869,0.171546437,-346,52.40245245,101082,1253,518.4152713,26668.95097,263.834817,4946659181,48.94,-11.83870968,10.22580645,-21.35483871,-12.70967742,-20.03225806,7.64516129,0,4.45434729625351,3.13549421592915,5.57532321413683,7.13329595489607,3.89059505801453,0,0,0
"16","AZUAY","SIERRA",2021,"April","16",16,4,"pre",61,11,11.29,69.43,600,275.430465,0.848602334,"provax",0,"provax",0,0,0,17,2,22,21093,2214,2.393140865,0.251192997,292,46.07981956,101335,159,454.7275824,32360.94187,319.3461476,-203733930,-2.01,-16.6,11.03333333,-26.93333333,-21.86666667,-26.86666667,11.8,0,4.12713438504509,2.484906649788,5.76627561668135,5.06890420222023,NA,0,0,0
"17","AZUAY","SIERRA",2021,"May","17",17,5,"pre",102,30,16.33,59.49,599,260.475944,0.769445891,"provax",0,"provax",0,0,0,88,4,46,23088,1995,2.619486858,0.226345993,466,32.14321891,101129,1135,317.8437334,25031.95661,247.5250088,-3957015509,-39.13,-15.93548387,9.35483871,-28,-27,-27.35483871,12.74193548,0,4.63472898822964,3.43398720448515,5.51151162256054,7.0343879299155,NA,0,0,0
"18","AZUAY","SIERRA",2021,"June","18",18,6,"pre",76,13,24.37,0,483,170.8281161,0.547224541,"provax",0,"provax",0,0,0,144,1,49,24952,1864,2.830970032,0.211483173,224,38.10864198,101476,1105,375.5433992,29295.76942,288.6965334,6152896994,60.63,6.233333333,30.86666667,-9.633333333,-13.96666667,-13.43333333,5.933333333,0,4.34380542185368,2.63905732961526,5.66537607897643,7.00760061395185,4.10478982008364,0,0,0
"19","AZUAY","SIERRA",2021,"July","19",19,7,"pre",82,21,62.27,0,480,134.2144502,0.388143606,"provax",0,"provax",0,0,0,145,1,59,26582,1630,3.015904352,0.18493432,-35,38.57373692,102270,1306,377.1754857,25882.93991,253.0843836,-4069724298,-39.79,13.83870968,38.58064516,-4.870967742,-10.67741935,-11,4.741935484,0,4.4188406077966,3.09104245335832,5.53372296513389,7.17472430983638,NA,0,0,0
