"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-34.9534085247258,33.5167238447711,-1.04286471096067,0.297885549462391
"2","taxpayers",7.98552413573614e-05,6.88727475219814e-05,1.15946066086408,0.247228835071167
"3","provAZUAY",28.9412950140196,26.5587735730133,1.08970750981616,0.276752942545651
"4","provBOLIVAR",34.0029891311494,32.008225417481,1.06232034696241,0.288980248473808
"5","provCAÑAR",33.5419708193124,31.7069228403127,1.05787530969945,0.290998782370185
"6","provCARCHI",34.1819108197982,32.0838955784601,1.06539153689138,0.287591144427147
"7","provCHIMBORAZO",31.9494934131175,29.8257482707168,1.07120509175911,0.284974081682001
"8","provCOTOPAXI",32.3054083494113,30.070926253608,1.07430705914937,0.283584327305087
"9","provEL ORO",30.7298739332158,28.2585276254657,1.08745488584915,0.277745068123051
"10","provESMERALDAS",31.6773909813549,29.7496683095416,1.06479812318429,0.287859192804988
"11","provGALAPAGOS",35.6891143658827,33.0501272939584,1.07984801536322,0.281113346902991
"12","provGUAYAS",3.0254483614406,3.51507368075434,0.860706954168692,0.390115428262935
"13","provIMBABURA",32.1900852201995,29.7688776273219,1.08133351963043,0.280453393498705
"14","provLOJA",31.7959351669045,29.4665555712012,1.07905164178673,0.281467581562972
"15","provLOS RIOS",31.7984570556197,28.9576181301396,1.09810333545781,0.27307656586918
"16","provMANABI",24.37299304932,22.7684260599364,1.07047333817277,0.285302598380226
"17","provMORONA SANTIAGO",34.6275248131135,32.3440942700758,1.07059806726912,0.285246583756368
"18","provNAPO",34.7137467272381,32.5424629735532,1.06672155563177,0.286990982384089
"19","provORELLANA",34.5343337464494,32.2637417064913,1.07037596756799,0.285346331767594
"20","provPASTAZA",34.5006329918076,32.533511924581,1.06046445498373,0.289821870662686
"21","provSANTA ELENA",34.487190158819,31.5993053317657,1.09139076940879,0.276013169634854
"22","provSANTO DOMINGO DE LOS TSACHILAS",31.757144008793,29.474197939513,1.07745574871842,0.282178366347775
"23","provSUCUMBIOS",33.7013419773095,31.669535544095,1.06415649608708,0.288149209991311
"24","provTUNGURAHUA",30.5599637081523,28.0829651422437,1.08820288574808,0.277415356098345
"25","provZAMORA CHINCHIPE",35.0263957178578,32.7601223398354,1.06917780570272,0.285884851519833
"26","monthAugust",1.49357846907375,0.939658777824095,1.58949025361348,0.113046873687379
"27","monthDecember",0.222646388835842,1.81772623351819,0.122486205419895,0.902599396767211
