"","province","region","year","month","monthyear","time_cont","month_number","post","buss","non_sas","vax_leastone","vax_complete","deaths","excessd","excessd_rate","antivax","antivax_dic","treat","treat1","treat2","treat3","robbery","v_deaths","transit_acc","total_cases","new_cases","case_rate","new_case_rate","job_change","taxes","taxpayers","tax_pc","sales","sales_pc_k","m_retail","m_grocery","m_parks","m_transit","m_workplace","m_residential","rating","prov","year_n","lbuss","lnsas","did","day","date_yr_m","month_short","year_short","my","my_Apr20","my_Apr21","my_Aug20","my_Aug21","my_Dec20","my_Dec21","my_Feb20","my_Feb21","my_Jan20","my_Jan21","my_Jul20","my_Jul21","my_Jun20","my_Jun21","my_Mar20","my_Mar21","my_May20","my_May21","my_Nov20","my_Nov21","my_Oct20","my_Oct21","my_Sep20","my_Sep21","t0120","t0220","t0320","t0420","t0520","t0620","t0720","t0820","t0920","t1020","t1120","t1220","t0121","t0221","t0321","t0421","t0521","t0621","t0721","t0821","t0921","t1021","t1121","t1221","treatment"
"1","AZUAY","SIERRA","2020","January","January-2020",1,1,0,54,54,0,0,364,27.06591132,0.080329988,"provax",0,"provax",0,0,1,277,1,90,,,,,-401,64.61749788,100863,640.6462021,30563.01545,303.0151339,,,,,,,1,"AZUAY",1,4.00733318523247,4.00733318523247,0,"01",Jan 2020,"Jan",20,"Jan20",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AZUAY","SIERRA","2020","February","February-2020",2,2,0,43,43,0,0,328,9.980734557,0.031384056,"provax",0,"provax",0,0,1,228,7,100,,,,,-193,47.88608714,101082,473.7350581,25127.02363,248.5805943,,,,,,,1,"AZUAY",1,3.78418963391826,3.78418963391826,0,"01",Feb 2020,"Feb",20,"Feb20",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AZUAY","SIERRA","2020","March","March-2020",3,3,0,19,19,0,0,360,46.76463927,0.14929553,"provax",0,"provax",0,0,1,94,2,69,78,78,0.008849618,0.008849618,-346,52.40245245,101335,517.1209597,26668.95097,263.1761086,-40.25806452,-33.19354839,-42.29032258,-37.29032258,-41.64516129,20.09677419,1,"AZUAY",1,2.99573227355399,2.99573227355399,0,"01",Mar 2020,"Mar",20,"Mar20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","AZUAY","SIERRA","2020","April","April-2020",4,4,0,0,0,0,0,366,41.43046503,0.127647424,"provax",0,"provax",0,0,1,17,2,22,460,382,0.052190053,0.043340436,292,46.07981956,101129,455.6538635,32360.94187,319.9966564,-78.8,-70.56666667,-78.66666667,-84.36666667,-75.43333333,37.43333333,1,"AZUAY",1,0,0,0,"01",Apr 2020,"Apr",20,"Apr20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","AZUAY","SIERRA","2020","May","May-2020",5,5,0,10,8,0,0,379,40.47594404,0.119565931,"provax",0,"provax",0,0,1,88,4,46,869,409,0.098593818,0.046403765,466,32.14321891,101476,316.7568579,25031.95661,246.6785901,-62.25806452,-55.06451613,-64.12903226,-72.19354839,-54.90322581,30.19354839,1,"AZUAY",1,2.39789527279837,2.19722457733622,0,"01",May 2020,"May",20,"May20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","AZUAY","SIERRA","2020","June","June-2020",6,6,0,58,33,0,0,384,71.82811606,0.230091561,"provax",0,"provax",0,0,1,144,1,49,1762,893,0.199910596,0.101316778,224,38.10864198,102270,372.6277694,29295.76942,286.455162,-39.1,-31.63333333,-43.76666667,-55.03333333,-35.23333333,21.7,1,"AZUAY",1,4.07753744390572,3.52636052461616,0,"01",Jun 2020,"Jun",20,"Jun20",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AZUAY","SIERRA","2020","July","July-2020",7,7,0,90,29,0,0,488,142.2144502,0.411279333,"provax",0,"provax",0,0,1,145,1,59,3326,1564,0.377356778,0.177446182,-35,38.57373692,103089,374.1789805,25882.93991,251.0737315,-32.87096774,-19.93548387,-38.5483871,-49.03225806,-32,19.48387097,1,"AZUAY",1,4.51085950651685,3.40119738166216,0,"01",Jul 2020,"Jul",20,"Jul20",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","AZUAY","SIERRA","2020","August","August-2020",8,8,0,71,35,0,0,644,303.9747729,0.893977119,"provax",0,"provax",0,0,1,133,4,59,5454,2128,0.618792504,0.241435726,383,44.48268008,103407,430.170879,25324.25334,244.8988303,-30.67741935,-18.03225806,-33.96774194,-43.5,-30.35483871,17.16129032,1,"AZUAY",1,4.27666611901606,3.58351893845611,0,"01",Aug 2020,"Aug",20,"Aug20",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","AZUAY","SIERRA","2020","September","September-2020",9,9,0,84,26,0,0,542,207.1266703,0.618522444,"provax",0,"provax",0,0,1,154,1,56,8981,3527,1.018954066,0.400161562,71,53.75256457,104469,514.5312444,27854.24295,266.6268744,-27.53333333,-11.23333333,-29.73333333,-38.45454545,-27.86666667,15.16666667,1,"AZUAY",1,4.44265125649032,3.29583686600433,0,"01",Sep 2020,"Sep",20,"Sep20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","AZUAY","SIERRA","2020","October","October-2020",10,10,0,85,34,0,0,486,182.1278502,0.599356836,"provax",0,"provax",0,0,1,192,3,71,10604,1623,1.203094189,0.184140123,-172,48.64301093,105192,462.4212006,25641.2028,243.7562058,-24.35483871,-5.419354839,-28,-30.70967742,-25.03225806,13.35483871,1,"AZUAY",1,4.45434729625351,3.55534806148941,0,"01",Oct 2020,"Oct",20,"Oct20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
