	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16
VARIABLES	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss
																
did	-0.254***	-0.129	-0.151	-0.115	-0.0294	-0.263	-0.247	-0.264*	0.0202	-0.0428	-0.0343	-0.0195	-0.0916	-0.152	-0.0453	-0.0550
	(0.0724)	(0.123)	(0.132)	(0.185)	(0.256)	(0.160)	(0.163)	(0.150)	(0.167)	(0.297)	(0.300)	(0.298)	(0.293)	(0.277)	(0.303)	(0.301)
period	0.271***	0.224***	-0.0971	0.355**	0.422**	0.250	0.203	-0.0259	-0.0224	0.340	0.357	0.410*	0.373*	0.383*	0.325	0.306
	(0.0498)	(0.0735)	(0.156)	(0.179)	(0.196)	(0.179)	(0.212)	(0.191)	(0.176)	(0.217)	(0.223)	(0.221)	(0.222)	(0.216)	(0.241)	(0.237)
vax_leastone			-0.00951***	-0.0267***	-0.0265***	-0.0221***	-0.0217***	-0.0145***	-0.0133***	-0.0202***	-0.0209***	-0.0217***	-0.0192***	-0.0154***	-0.0197***	-0.0190***
			(0.00284)	(0.00374)	(0.00375)	(0.00345)	(0.00409)	(0.00327)	(0.00302)	(0.00424)	(0.00465)	(0.00436)	(0.00461)	(0.00524)	(0.00524)	(0.00493)
vax_complete			0.00105	0.00105	0.00382	0.00229	0.00252	0.00113	0.00120	0.000990	0.00100	0.000791	0.000364	0.000671	0.00122	0.00121
			(0.00268)	(0.00320)	(0.00350)	(0.00269)	(0.00304)	(0.00250)	(0.00224)	(0.00298)	(0.00300)	(0.00292)	(0.00290)	(0.00282)	(0.00294)	(0.00292)
excessd			-0.000419**	-0.000346*	-0.000312*	-0.000339*	-0.000343*	-0.000322	-0.000220	-0.000206	-0.000205	-0.000219	-0.000248*	-0.000293**		
			(0.000182)	(0.000182)	(0.000188)	(0.000188)	(0.000199)	(0.000200)	(0.000194)	(0.000172)	(0.000173)	(0.000168)	(0.000144)	(0.000132)		
year			0.983***	0.973***	0.734	0.978***	1.444***	0.960***	0.273	-0.00900	-0.0387	-0.173	-0.0652	-0.314	-0.172	-0.139
			(0.149)	(0.302)	(0.505)	(0.243)	(0.219)	(0.138)	(0.279)	(0.432)	(0.484)	(0.492)	(0.428)	(0.450)	(0.479)	(0.439)
m_retail				0.0143***						0.00121	0.00198	0.00169	0.00197	0.00393	0.00192	0.00105
				(0.00550)						(0.00731)	(0.00793)	(0.00737)	(0.00733)	(0.00764)	(0.00805)	(0.00737)
m_grocery					0.0157**					-0.00275	-0.00256	-0.00224	-0.00246	-0.00100	-0.00202	-0.00223
					(0.00794)					(0.00575)	(0.00583)	(0.00569)	(0.00562)	(0.00546)	(0.00622)	(0.00611)
m_parks						0.0160***				0.00274	0.00344	0.00433	0.00323	0.00220	0.00163	0.000824
						(0.00596)				(0.0103)	(0.0104)	(0.0103)	(0.00998)	(0.0100)	(0.0108)	(0.0106)
m_transit							0.00223			0.00118	0.00116	0.00128	0.00122	0.00148	0.00146	0.00149
							(0.00272)			(0.00246)	(0.00247)	(0.00241)	(0.00249)	(0.00245)	(0.00257)	(0.00257)
m_residential								-0.0373***		-0.0195	-0.0191	-0.0175	-0.0183	-0.0230*	-0.0197	-0.0202
								(0.00929)		(0.0139)	(0.0137)	(0.0139)	(0.0132)	(0.0132)	(0.0141)	(0.0142)
m_workplace									0.0473***	0.0522***	0.0505***	0.0498***	0.0495***	0.0419***	0.0558***	0.0577***
									(0.0105)	(0.0161)	(0.0150)	(0.0153)	(0.0138)	(0.0142)	(0.0159)	(0.0159)
total_cases											8.19e-07				9.27e-07	
											(3.36e-06)				(2.94e-06)	
case_rate												0.0887				
												(0.0952)				
new_cases													4.53e-05			
													(4.14e-05)			
new_case_rate														1.725**		
														(0.796)		
excessd_rate															0.0111	0.0115
															(0.246)	(0.246)
Constant	2.840***	2.064***	-1,984***	-1,963***	-1,481	-1,973***	-2,916***	-1,936***	-546.6	23.70	83.67	355.8	137.1	640.4	352.5	286.5
	(0.152)	(0)	(301.6)	(611.0)	(1,021)	(490.9)	(443.1)	(278.5)	(564.9)	(872.8)	(978.2)	(995.0)	(865.0)	(909.1)	(968.8)	(887.0)
																
Observations	576	576	576	486	404	528	478	573	528	376	376	376	376	376	376	376
R-squared	0.799	0.839	0.908	0.947	0.955	0.941	0.933	0.924	0.954	0.967	0.967	0.967	0.968	0.970	0.965	0.965
Adj. R^2	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
