	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16
VARIABLES	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss
																
did	-0.130	0.0234	-0.00313	0.0312	0.0308	-0.0537	0.0337	-0.146	0.0773	-0.173	-0.157	-0.137	-0.219	-0.275	-0.185	-0.203
	(0.0883)	(0.158)	(0.172)	(0.253)	(0.349)	(0.212)	(0.209)	(0.185)	(0.189)	(0.473)	(0.477)	(0.477)	(0.473)	(0.480)	(0.481)	(0.477)
period	0.208***	0.169***	-0.159	0.307*	0.412**	0.151	0.0753	-0.0928	-0.0370	0.341	0.356	0.413*	0.362*	0.359*	0.323	0.305
	(0.0455)	(0.0630)	(0.154)	(0.176)	(0.193)	(0.175)	(0.204)	(0.189)	(0.172)	(0.210)	(0.218)	(0.214)	(0.215)	(0.210)	(0.235)	(0.231)
vax_leastone			-0.00939***	-0.0266***	-0.0265***	-0.0218***	-0.0212***	-0.0144***	-0.0132***	-0.0201***	-0.0207***	-0.0216***	-0.0190***	-0.0151***	-0.0195***	-0.0188***
			(0.00285)	(0.00376)	(0.00375)	(0.00346)	(0.00405)	(0.00329)	(0.00303)	(0.00417)	(0.00463)	(0.00429)	(0.00458)	(0.00522)	(0.00522)	(0.00488)
vax_complete			0.00114	0.00120	0.00386	0.00242	0.00280	0.00112	0.00128	0.000905	0.000925	0.000723	0.000269	0.000566	0.00113	0.00111
			(0.00270)	(0.00324)	(0.00352)	(0.00272)	(0.00307)	(0.00251)	(0.00225)	(0.00297)	(0.00300)	(0.00292)	(0.00289)	(0.00281)	(0.00294)	(0.00291)
excessd			-0.000420**	-0.000347*	-0.000312*	-0.000341*	-0.000346*	-0.000324	-0.000220	-0.000205	-0.000205	-0.000218	-0.000247*	-0.000291**		
			(0.000181)	(0.000181)	(0.000187)	(0.000187)	(0.000197)	(0.000199)	(0.000193)	(0.000172)	(0.000173)	(0.000168)	(0.000145)	(0.000132)		
year			0.978***	0.974***	0.738	0.995***	1.440***	0.959***	0.266	-0.0179	-0.0444	-0.180	-0.0693	-0.311	-0.178	-0.149
			(0.150)	(0.300)	(0.499)	(0.245)	(0.220)	(0.138)	(0.277)	(0.436)	(0.487)	(0.495)	(0.430)	(0.453)	(0.481)	(0.442)
m_retail				0.0142**						0.00190	0.00254	0.00227	0.00276	0.00482	0.00258	0.00186
				(0.00548)						(0.00770)	(0.00823)	(0.00774)	(0.00775)	(0.00814)	(0.00835)	(0.00778)
m_grocery					0.0157**					-0.00290	-0.00270	-0.00232	-0.00279	-0.00154	-0.00220	-0.00242
					(0.00783)					(0.00565)	(0.00577)	(0.00563)	(0.00554)	(0.00541)	(0.00615)	(0.00601)
m_parks						0.0152**				0.00168	0.00239	0.00341	0.00201	0.000796	0.000404	-0.000411
						(0.00593)				(0.0109)	(0.0110)	(0.0108)	(0.0105)	(0.0106)	(0.0114)	(0.0111)
m_transit							0.00192			0.00111	0.00111	0.00126	0.00101	0.00111	0.00138	0.00138
							(0.00271)			(0.00235)	(0.00236)	(0.00232)	(0.00236)	(0.00232)	(0.00246)	(0.00245)
m_residential								-0.0369***		-0.0206	-0.0201	-0.0183	-0.0197	-0.0248*	-0.0209	-0.0215
								(0.00932)		(0.0143)	(0.0142)	(0.0144)	(0.0136)	(0.0137)	(0.0145)	(0.0145)
m_workplace									0.0474***	0.0526***	0.0511***	0.0501***	0.0502***	0.0429***	0.0565***	0.0582***
									(0.0104)	(0.0160)	(0.0151)	(0.0153)	(0.0138)	(0.0141)	(0.0160)	(0.0158)
total_cases											7.33e-07				8.29e-07	
											(3.37e-06)				(2.95e-06)	
case_rate												0.0870				
												(0.0949)				
new_cases													4.53e-05			
													(4.11e-05)			
new_case_rate														1.717**		
														(0.787)		
excessd_rate															0.0121	0.0126
															(0.246)	(0.246)
Constant	2.851***	2.064***	-1,973***	-1,966***	-1,488	-2,007***	-2,907***	-1,934***	-532.6	41.68	95.19	369.2	145.4	633.6	366.2	307.6
	(0.153)	(0)	(303.0)	(606.6)	(1,009)	(495.6)	(445.1)	(279.6)	(559.9)	(881.8)	(985.1)	(1,001)	(870.2)	(914.6)	(972.6)	(893.1)
																
Observations	576	576	576	486	404	528	478	573	528	376	376	376	376	376	376	376
R-squared	0.798	0.839	0.907	0.946	0.955	0.940	0.932	0.924	0.954	0.967	0.967	0.967	0.968	0.970	0.965	0.965
Adj. R^2	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
