	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16
VARIABLES	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss
																
did	-0.248***	-0.147	-0.181	-0.110	-0.0165	-0.266	-0.294*	-0.281*	-0.0326	-0.131	-0.0287	-0.0995	-0.219	-0.190	-0.0313	-0.116
	(0.0745)	(0.129)	(0.136)	(0.188)	(0.252)	(0.162)	(0.168)	(0.152)	(0.163)	(0.298)	(0.303)	(0.306)	(0.273)	(0.282)	(0.303)	(0.296)
period	0.283***	0.242***	-0.135	0.282	0.324	0.174	0.172	-0.122	-0.103	0.238	0.279	0.269	0.244	0.273	0.286	0.245
	(0.0556)	(0.0839)	(0.182)	(0.217)	(0.232)	(0.196)	(0.236)	(0.202)	(0.183)	(0.244)	(0.247)	(0.244)	(0.229)	(0.236)	(0.239)	(0.234)
vax_leastone			-0.00782**	-0.0247***	-0.0244***	-0.0198***	-0.0196***	-0.0117***	-0.0106***	-0.0170***	-0.0189***	-0.0174***	-0.0131**	-0.0137**	-0.0190***	-0.0172***
			(0.00377)	(0.00462)	(0.00487)	(0.00395)	(0.00472)	(0.00376)	(0.00351)	(0.00511)	(0.00547)	(0.00521)	(0.00513)	(0.00525)	(0.00522)	(0.00484)
vax_complete			1.94e-05	0.000336	0.00322	0.00166	0.00193	0.000403	0.000648	0.000468	0.000698	0.000139	0.000294	0.000560	0.000792	0.000597
			(0.00255)	(0.00305)	(0.00325)	(0.00253)	(0.00285)	(0.00242)	(0.00218)	(0.00295)	(0.00292)	(0.00299)	(0.00281)	(0.00288)	(0.00291)	(0.00292)
excessd			-5.49e-05	0.000299	0.000304	0.000395	0.000306	0.000552	0.000823	0.000652	0.000737	0.000599	5.79e-05	0.000156		
			(0.00107)	(0.000998)	(0.000985)	(0.00102)	(0.00107)	(0.000917)	(0.000821)	(0.000810)	(0.000704)	(0.000811)	(0.000702)	(0.000877)		
year			0.960***	0.957***	0.786	0.980***	1.362***	0.913***	0.267	0.0513	-0.215	-0.0644	-0.145	-0.139	-0.161	0.0291
			(0.170)	(0.343)	(0.535)	(0.268)	(0.244)	(0.160)	(0.256)	(0.406)	(0.440)	(0.448)	(0.388)	(0.411)	(0.448)	(0.408)
m_retail				0.0137**						-1.90e-05	0.00253	-0.000504	0.00245	0.00153	0.00193	6.96e-05
				(0.00591)						(0.00791)	(0.00830)	(0.00790)	(0.00815)	(0.00818)	(0.00832)	(0.00793)
m_grocery					0.0142*					-0.00285	-0.00296	-0.00260	-0.00268	-0.00190	-0.00268	-0.00246
					(0.00783)					(0.00555)	(0.00545)	(0.00551)	(0.00500)	(0.00529)	(0.00552)	(0.00560)
m_parks						0.0146**				0.000542	0.00401	0.00126	0.00314	0.00102	0.00372	0.000783
						(0.00608)				(0.0105)	(0.0104)	(0.0104)	(0.00983)	(0.0103)	(0.0104)	(0.0106)
m_transit							0.00307			0.00294	0.00242	0.00256	0.00314	0.00292	0.00218	0.00263
							(0.00297)			(0.00245)	(0.00250)	(0.00262)	(0.00246)	(0.00252)	(0.00252)	(0.00250)
m_residential								-0.0363***		-0.0176	-0.0122	-0.0164	-0.0139	-0.0206	-0.0137	-0.0182
								(0.00879)		(0.0134)	(0.0134)	(0.0135)	(0.0124)	(0.0132)	(0.0137)	(0.0137)
m_workplace									0.0460***	0.0515***	0.0490***	0.0516***	0.0423***	0.0425***	0.0489***	0.0511***
									(0.00907)	(0.0150)	(0.0142)	(0.0149)	(0.0138)	(0.0157)	(0.0143)	(0.0150)
total_cases											1.92e-05				1.55e-05	
											(1.55e-05)				(1.52e-05)	
case_rate												0.0805				
												(0.131)				
new_cases													0.000293**			
													(0.000136)			
new_case_rate														1.548		
														(1.054)		
excessd_rate															0.139	0.148
															(0.112)	(0.113)
Constant	2.960***	2.064***	-1,938***	-1,931***	-1,586	-1,977***	-2,750***	-1,842***	-535.5	-98.49	440.1	135.2	298.5	285.2	331.2	-53.51
	(0.147)	(0)	(343.0)	(693.1)	(1,080)	(541.4)	(493.9)	(323.2)	(517.2)	(821.1)	(888.4)	(905.2)	(783.8)	(830.4)	(905.8)	(825.6)
																
Observations	528	528	528	442	360	484	434	525	484	332	332	332	332	332	332	332
R-squared	0.680	0.742	0.842	0.914	0.928	0.903	0.887	0.869	0.927	0.946	0.948	0.946	0.952	0.949	0.947	0.946
Adj. R^2	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
