	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	m4	m5	m10	m11	m12	m13	m14	m15	m16	m1	m2	m3	m6	m7	m8	m9
VARIABLES	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss	lbuss
																
did	-0.115	-0.0294	-0.0428	-0.0343	-0.0195	-0.0916	-0.152	-0.0453	-0.0550							
	(0.185)	(0.256)	(0.297)	(0.300)	(0.298)	(0.293)	(0.277)	(0.303)	(0.301)							
period	0.355**	0.422**	0.340	0.357	0.410*	0.373*	0.383*	0.325	0.306	0.186***	0.185***	-0.144	0.182	0.110	-0.113	-0.000268
	(0.179)	(0.196)	(0.217)	(0.223)	(0.221)	(0.222)	(0.216)	(0.241)	(0.237)	(0.0442)	(0.0613)	(0.147)	(0.167)	(0.192)	(0.177)	(0.162)
vax_leastone	-0.0267***	-0.0265***	-0.0202***	-0.0209***	-0.0217***	-0.0192***	-0.0154***	-0.0197***	-0.0190***			-0.00942***	-0.0220***	-0.0213***	-0.0143***	-0.0134***
	(0.00374)	(0.00375)	(0.00424)	(0.00465)	(0.00436)	(0.00461)	(0.00524)	(0.00524)	(0.00493)			(0.00283)	(0.00343)	(0.00404)	(0.00324)	(0.00299)
vax_complete	0.00105	0.00382	0.000990	0.00100	0.000791	0.000364	0.000671	0.00122	0.00121			0.00135	0.00304	0.00308	0.00159	0.00140
	(0.00320)	(0.00350)	(0.00298)	(0.00300)	(0.00292)	(0.00290)	(0.00282)	(0.00294)	(0.00292)			(0.00274)	(0.00276)	(0.00309)	(0.00256)	(0.00229)
excessd	-0.000346*	-0.000312*	-0.000206	-0.000205	-0.000219	-0.000248*	-0.000293**					-0.000419**	-0.000338*	-0.000345*	-0.000323	-0.000220
	(0.000182)	(0.000188)	(0.000172)	(0.000173)	(0.000168)	(0.000144)	(0.000132)					(0.000182)	(0.000186)	(0.000198)	(0.000198)	(0.000194)
year	0.973***	0.734	-0.00900	-0.0387	-0.173	-0.0652	-0.314	-0.172	-0.139			0.972***	0.929***	1.433***	0.943***	0.278
	(0.302)	(0.505)	(0.432)	(0.484)	(0.492)	(0.428)	(0.450)	(0.479)	(0.439)			(0.149)	(0.250)	(0.222)	(0.138)	(0.271)
m_retail	0.0143***		0.00121	0.00198	0.00169	0.00197	0.00393	0.00192	0.00105							
	(0.00550)		(0.00731)	(0.00793)	(0.00737)	(0.00733)	(0.00764)	(0.00805)	(0.00737)							
m_grocery		0.0157**	-0.00275	-0.00256	-0.00224	-0.00246	-0.00100	-0.00202	-0.00223							
		(0.00794)	(0.00575)	(0.00583)	(0.00569)	(0.00562)	(0.00546)	(0.00622)	(0.00611)							
m_parks			0.00274	0.00344	0.00433	0.00323	0.00220	0.00163	0.000824				0.0167***			
			(0.0103)	(0.0104)	(0.0103)	(0.00998)	(0.0100)	(0.0108)	(0.0106)				(0.00611)			
m_transit			0.00118	0.00116	0.00128	0.00122	0.00148	0.00146	0.00149					0.00195		
			(0.00246)	(0.00247)	(0.00241)	(0.00249)	(0.00245)	(0.00257)	(0.00257)					(0.00279)		
m_residential			-0.0195	-0.0191	-0.0175	-0.0183	-0.0230*	-0.0197	-0.0202						-0.0368***	
			(0.0139)	(0.0137)	(0.0139)	(0.0132)	(0.0132)	(0.0141)	(0.0142)						(0.00929)	
m_workplace			0.0522***	0.0505***	0.0498***	0.0495***	0.0419***	0.0558***	0.0577***							0.0470***
			(0.0161)	(0.0150)	(0.0153)	(0.0138)	(0.0142)	(0.0159)	(0.0159)							(0.0103)
total_cases				8.19e-07				9.27e-07								
				(3.36e-06)				(2.94e-06)								
case_rate					0.0887											
					(0.0952)											
new_cases						4.53e-05										
						(4.14e-05)										
new_case_rate							1.725**									
							(0.796)									
excessd_rate								0.0111	0.0115							
								(0.246)	(0.246)							
did_r1										-0.260***	-0.234	-0.315	-0.738**	-0.427*	-0.456**	-0.261
										(0.0696)	(0.185)	(0.215)	(0.291)	(0.238)	(0.218)	(0.211)
Constant	-1,963***	-1,481	23.70	83.67	355.8	137.1	640.4	352.5	286.5	2.854***	2.064***	-1,962***	-1,873***	-2,894***	-1,903***	-557.1
	(611.0)	(1,021)	(872.8)	(978.2)	(995.0)	(865.0)	(909.1)	(968.8)	(887.0)	(0.153)	(0)	(301.6)	(505.4)	(448.5)	(279.5)	(548.1)
																
Observations	486	404	376	376	376	376	376	376	376	576	576	576	528	478	573	528
R-squared	0.947	0.955	0.967	0.967	0.967	0.968	0.970	0.965	0.965	0.798	0.839	0.908	0.941	0.933	0.924	0.955
Adj. R^2	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897	0.897
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
