province,region,year,month,month_number,post,buss,vax_leastone,vax_complete,deaths,antivax,robbery,v_deaths,transit_acc,positive_cases,job_change,taxes,taxpayers,tax_pc,sales,sales_pc_k,mobility_retail,interaction_did
AZUAY,SIERRA,2020,January,1,0,54,0,0,364,0,277,1,90,0,-401,64.61749788,100863,640.65,"30,563.02",303.02,,0
AZUAY,SIERRA,2020,February,2,0,43,0,0,328,0,228,7,100,0,-193,47.88608714,101082,473.74,"25,127.02",248.58,9,0
AZUAY,SIERRA,2020,March,3,0,19,0,0,360,0,94,2,69,0,-346,52.40245245,101335,517.12,"26,668.95",263.18,-40.25806452,0
AZUAY,SIERRA,2020,April,4,0,0,0,0,366,0,17,2,22,78,292,46.07981956,101129,455.65,"32,360.94",320,-78.8,0
AZUAY,SIERRA,2020,May,5,0,10,0,0,379,0,88,4,46,382,466,32.14321891,101476,316.76,"25,031.96",246.68,-62.25806452,0
AZUAY,SIERRA,2020,June,6,0,58,0,0,384,0,144,1,49,409,224,38.10864198,102270,372.63,"29,295.77",286.46,-39.1,0
AZUAY,SIERRA,2020,July,7,0,90,0,0,488,0,145,1,59,893,-35,38.57373692,103089,374.18,"25,882.94",251.07,-32.87096774,0
AZUAY,SIERRA,2020,August,8,0,71,0,0,644,0,133,4,59,1564,383,44.48268008,103407,430.17,"25,324.25",244.9,-30.67741935,0
AZUAY,SIERRA,2020,September,9,0,84,0,0,542,0,154,1,56,2128,71,53.75256457,104469,514.53,"27,854.24",266.63,-27.53333333,0
AZUAY,SIERRA,2020,October,10,0,85,0,0,486,0,192,3,71,3527,-172,48.64301093,105192,462.42,"25,641.20",243.76,-24.35483871,0
AZUAY,SIERRA,2020,November,11,0,77,0,0,430,0,174,4,82,1623,-353,51.90960508,105909,490.13,"28,742.45",271.39,-21,0
AZUAY,SIERRA,2020,December,12,0,73,0,0,422,0,186,3,85,1285,689,51.43269146,106467,483.09,"47,809.93",449.06,-16.93548387,0
BOLIVAR,SIERRA,2020,January,1,0,3,0,0,63,0,17,0,7,0,-236,1.10225347,20126,54.77,"2,362.35",117.38,,0
BOLIVAR,SIERRA,2020,February,2,0,0,0,0,85,0,29,0,11,0,-15,0.74085707,20110,36.84,"2,048.88",101.88,9.714285714,0
BOLIVAR,SIERRA,2020,March,3,0,1,0,0,68,0,13,0,1,0,-16,0.88871635,20150,44.11,"1,674.11",83.08,-38.09677419,0
BOLIVAR,SIERRA,2020,April,4,0,0,0,0,122,0,6,1,1,15,-6,1.07619052,20107,53.52,"1,430.97",71.17,-72.4,0
BOLIVAR,SIERRA,2020,May,5,0,0,0,0,104,0,7,1,1,118,20,0.54567544,20156,27.07,"1,618.33",80.29,-57.61290323,0
BOLIVAR,SIERRA,2020,June,6,0,2,0,0,103,0,10,1,1,179,29,0.69631078,20361,34.2,"3,894.98",191.3,-39.26666667,0
BOLIVAR,SIERRA,2020,July,7,0,3,0,0,119,0,10,1,0,336,-15,0.6971637,20562,33.91,"1,810.16",88.03,-34.03225806,0
BOLIVAR,SIERRA,2020,August,8,0,2,0,0,114,0,13,0,5,500,5,0.75218242,20637,36.45,"2,458.42",119.13,-26.8125,0
BOLIVAR,SIERRA,2020,September,9,0,3,0,0,80,0,11,1,4,293,50,1.19011723,20849,57.08,"2,272.11",108.98,-14,0
BOLIVAR,SIERRA,2020,October,10,0,2,0,0,73,0,16,2,3,329,-42,0.88990286,21002,42.37,"2,400.69",114.31,-8.032258065,0
BOLIVAR,SIERRA,2020,November,11,0,1,0,0,78,0,14,2,3,334,-7,0.77708694,21201,36.65,"2,341.47",110.44,-8.24137931,0
BOLIVAR,SIERRA,2020,December,12,0,3,0,0,103,0,8,3,2,278,67,0.90168807,21317,42.3,"5,354.42",251.18,-6.709677419,0
CAÑAR,SIERRA,2020,January,1,0,4,0,0,109,0,54,1,4,0,-52,3.03956514,25925,117.24,"5,351.22",206.41,,0
CAÑAR,SIERRA,2020,February,2,0,0,0,0,77,0,59,0,4,0,-50,2.98702647,26249,113.8,"4,263.01",162.41,-1,0
CAÑAR,SIERRA,2020,March,3,0,5,0,0,104,0,36,2,2,0,-80,2.88075085,26409,109.08,"4,271.38",161.74,-39.19354839,0
CAÑAR,SIERRA,2020,April,4,0,0,0,0,182,0,4,1,2,6,27,3.22564928,26355,122.39,"2,631.60",99.85,-74.66666667,0
